fold,category,percent,count,label
0,40-60,45.16129032258064,14,14 (45.2%)
1,40-60,44.44444444444444,16,16 (44.4%)
2,40-60,45.16129032258064,14,14 (45.2%)
3,40-60,52.94117647058824,18,18 (52.9%)
4,40-60,40.54054054054054,15,15 (40.5%)
5,40-60,41.17647058823529,14,14 (41.2%)
0,Older than 60,45.16129032258064,14,14 (45.2%)
1,Older than 60,50.0,18,18 (50.0%)
2,Older than 60,45.16129032258064,14,14 (45.2%)
3,Older than 60,44.11764705882353,15,15 (44.1%)
4,Older than 60,54.054054054054056,20,20 (54.1%)
5,Older than 60,52.94117647058824,18,18 (52.9%)
0,Younger than 40,9.67741935483871,3,3 (9.7%)
1,Younger than 40,5.555555555555555,2,2 (5.6%)
2,Younger than 40,9.67741935483871,3,3 (9.7%)
3,Younger than 40,2.941176470588235,1,1 (2.9%)
4,Younger than 40,5.405405405405405,2,2 (5.4%)
5,Younger than 40,5.88235294117647,2,2 (5.9%)
