fold,category,percent,count,label
0,0,48.38709677419355,15,15 (48.4%)
1,0,52.77777777777778,19,19 (52.8%)
2,0,41.935483870967744,13,13 (41.9%)
3,0,52.94117647058824,18,18 (52.9%)
4,0,51.35135135135135,19,19 (51.4%)
5,0,50.0,17,17 (50.0%)
0,1,35.483870967741936,11,11 (35.5%)
1,1,25.0,9,9 (25.0%)
2,1,38.70967741935484,12,12 (38.7%)
3,1,32.35294117647059,11,11 (32.4%)
4,1,32.432432432432435,12,12 (32.4%)
5,1,35.294117647058826,12,12 (35.3%)
0,2,16.129032258064516,5,5 (16.1%)
1,2,22.22222222222222,8,8 (22.2%)
2,2,19.35483870967742,6,6 (19.4%)
3,2,14.705882352941178,5,5 (14.7%)
4,2,16.216216216216218,6,6 (16.2%)
5,2,14.705882352941178,5,5 (14.7%)
