fold,category,percent,count,label
0,Leukoplakia with dysplasia,32.25806451612903,10,10 (32.3%)
1,Leukoplakia with dysplasia,33.33333333333333,12,12 (33.3%)
2,Leukoplakia with dysplasia,35.483870967741936,11,11 (35.5%)
3,Leukoplakia with dysplasia,35.294117647058826,12,12 (35.3%)
4,Leukoplakia with dysplasia,40.54054054054054,15,15 (40.5%)
5,Leukoplakia with dysplasia,35.294117647058826,12,12 (35.3%)
0,Leukoplakia without dysplasia,22.58064516129032,7,7 (22.6%)
1,Leukoplakia without dysplasia,30.555555555555557,11,11 (30.6%)
2,Leukoplakia without dysplasia,22.58064516129032,7,7 (22.6%)
3,Leukoplakia without dysplasia,23.52941176470588,8,8 (23.5%)
4,Leukoplakia without dysplasia,21.62162162162162,8,8 (21.6%)
5,Leukoplakia without dysplasia,26.47058823529412,9,9 (26.5%)
0,OSCC,45.16129032258064,14,14 (45.2%)
1,OSCC,36.11111111111111,13,13 (36.1%)
2,OSCC,41.935483870967744,13,13 (41.9%)
3,OSCC,41.17647058823529,14,14 (41.2%)
4,OSCC,37.83783783783784,14,14 (37.8%)
5,OSCC,38.23529411764706,13,13 (38.2%)
