pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs,model_name,model_display,source_file,inertia_value,silhouette_value,min_cluster_size,cluster_size_ratio,fold_eligible
2,2,0.4576112023988555,18985.82748950897,0.0,0.653076671873961,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,18985.82748950897,0.653076671873961,101,1.00990099009901,True
2,3,0.4576112023988555,8592.549995266272,0.0,0.663274852372222,0.0,35,35.0,101,101.0,2.8857142857142857,2.8857142857142857,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,8592.549995266272,0.663274852372222,35,2.8857142857142857,True
2,4,0.4576112023988555,6606.960392165607,0.0,0.5211249639446848,0.0,25,25.0,77,77.0,3.08,3.08,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,6606.960392165607,0.5211249639446848,25,3.08,True
2,5,0.4576112023988555,4899.598861631101,0.6870039278141801,0.4833238069069427,0.0044742160810993,19,19.6,77,76.4,4.052631578947368,3.901052631578948,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,4899.598861631101,0.4833238069069427,19,4.052631578947368,True
2,6,0.4576112023988555,3598.496185148667,5.544052280571525,0.4942676832547755,0.0011901686481632,19,19.4,58,56.4,3.0526315789473686,2.908421052631579,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,3598.496185148667,0.4942676832547755,19,3.0526315789473686,True
2,7,0.4576112023988555,3011.69681483881,6.602973186088501,0.457587241956675,0.0022858266452747,16,16.0,58,56.6,3.625,3.5375,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,3011.69681483881,0.457587241956675,16,3.625,True
2,8,0.4576112023988555,2503.397491039182,1.176102502355918,0.4651653935620897,0.0032663120016375,5,5.6,50,50.0,10.0,9.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,2503.397491039182,0.4651653935620897,5,10.0,False
2,9,0.4576112023988555,2190.057802206915,51.53930524409102,0.4471589018491255,0.0133523437525429,5,5.2,50,44.0,10.0,8.526666666666667,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,2190.057802206915,0.4471589018491255,5,10.0,False
3,2,0.5187827064349908,27483.627671857295,0.0,0.5720635104063981,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,27483.627671857295,0.5720635104063981,101,1.00990099009901,True
3,3,0.5187827064349908,16790.71221355462,0.0,0.5639015131943091,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,16790.71221355462,0.5639015131943091,34,3.0,True
3,4,0.5187827064349908,11376.968816549595,0.0,0.4914085175537996,0.0,34,34.0,68,68.0,2.0,2.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,11376.968816549595,0.4914085175537996,34,2.0,True
3,5,0.5187827064349908,9133.594349893585,8.930434240332861,0.4717503126366747,0.0007661154913802,23,28.2,67,67.0,2.9130434782608696,2.4180026350461135,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,9133.594349893585,0.4717503126366747,23,2.9130434782608696,True
3,6,0.5187827064349908,7096.8347521252535,0.1376965463620916,0.4286345466572,0.0002371074145021,20,20.0,50,50.0,2.5,2.5,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,7096.8347521252535,0.4286345466572,20,2.5,True
3,7,0.5187827064349908,5934.224002187351,16.70809695752749,0.4308026782062105,0.0010343847407841,13,13.0,50,50.0,3.8461538461538463,3.846153846153846,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,5934.224002187351,0.4308026782062105,13,3.8461538461538463,True
3,8,0.5187827064349908,5244.489452423348,44.06349442065462,0.3884919700780497,0.0071708350191943,13,13.8,40,38.8,3.076923076923077,2.839819004524887,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,5244.489452423348,0.3884919700780497,13,3.076923076923077,True
3,9,0.5187827064349908,4722.592923996393,37.92514604436498,0.3631276167902949,0.0073373155901573,9,10.8,40,33.4,3.636363636363636,3.1156565656565656,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,4722.592923996393,0.3631276167902949,9,3.636363636363636,False
4,2,0.5622474675502339,33603.47092427231,0.0,0.5306416341183697,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,33603.47092427231,0.5306416341183697,101,1.00990099009901,True
4,3,0.5622474675502339,22821.03042055501,0.0,0.5130769241534342,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,22821.03042055501,0.5130769241534342,34,3.0,True
4,4,0.5622474675502339,16848.650434824736,0.0,0.432097593987603,0.0,34,34.0,67,67.0,1.9705882352941175,1.9705882352941175,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,16848.650434824736,0.432097593987603,34,1.9705882352941175,True
4,5,0.5622474675502339,12397.960690756465,5.663674667089985,0.4316419438749517,0.0028803398988596,24,24.0,66,62.4,2.75,2.6,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,12397.960690756465,0.4316419438749517,24,2.75,True
4,6,0.5622474675502339,10039.695941203196,9.562922120126611,0.4115553443887805,0.0016199184498227,24,24.0,49,48.2,2.0416666666666665,2.0083333333333333,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,10039.695941203196,0.4115553443887805,24,2.0416666666666665,True
4,7,0.5622474675502339,8869.01928480856,9.492292243355587,0.412015968579262,0.0009972905764417,13,16.2,49,48.2,3.769230769230769,3.119648772280351,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,8869.01928480856,0.412015968579262,13,3.769230769230769,True
4,8,0.5622474675502339,7885.811836844016,15.214742838776903,0.3736084837399914,0.0117186113081375,12,14.8,44,37.2,3.4166666666666665,2.6006882591093117,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,7885.811836844016,0.3736084837399914,12,3.4166666666666665,True
4,9,0.5622474675502339,7009.677350984227,40.60755068382344,0.367221911266239,0.0127169297570839,11,12.2,39,37.0,3.5454545454545454,3.0966666666666667,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,7009.677350984227,0.367221911266239,11,3.5454545454545454,True
5,2,0.598706412791446,38743.53989708403,0.0,0.4962161766447187,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,38743.53989708403,0.4962161766447187,101,1.00990099009901,True
5,3,0.598706412791446,27943.2349848966,0.0,0.4691749334274301,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,27943.2349848966,0.4691749334274301,34,3.0,True
5,4,0.598706412791446,21970.877999072276,2.149428530498026,0.3786741579231233,0.0017834333221645,34,35.2,67,65.8,1.9705882352941175,1.8715686274509804,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,21970.877999072276,0.3786741579231233,34,1.9705882352941175,True
5,5,0.598706412791446,17245.503328165847,0.7220871787470191,0.3736903056519371,0.0006177458022692,25,25.2,58,58.0,2.32,2.302153846153846,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,17245.503328165847,0.3736903056519371,25,2.32,True
5,6,0.598706412791446,14670.938745091751,1.770988591312753,0.3592774181057485,0.0008450485061946,25,25.2,50,49.0,2.0,1.9455384615384617,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,14670.938745091751,0.3592774181057485,25,2.0,True
5,7,0.598706412791446,13151.997599096125,46.10755368539653,0.3280151556150179,0.0041657735668212,16,22.4,42,40.4,2.5,1.85,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,13151.997599096125,0.3280151556150179,16,2.5,True
5,8,0.598706412791446,12013.98879765323,47.31610283457076,0.3224485676067956,0.0047851374611691,8,14.8,41,36.6,4.75,3.0077777777777777,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,12013.98879765323,0.3224485676067956,8,4.75,False
5,9,0.598706412791446,10960.158654602332,73.10436240734815,0.313526935648257,0.0072344827760137,7,11.6,40,35.6,5.714285714285714,3.5224025974025976,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,10960.158654602332,0.313526935648257,7,5.714285714285714,False
6,2,0.6315518486850143,43374.71622537149,0.0,0.4679043027982568,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,43374.71622537149,0.4679043027982568,101,1.00990099009901,True
6,3,0.6315518486850143,32441.014598647005,0.0,0.436448235626277,0.0,36,36.0,102,102.0,2.8333333333333335,2.8333333333333335,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,32441.014598647005,0.436448235626277,36,2.8333333333333335,True
6,4,0.6315518486850143,26328.488059286796,0.0,0.3425373035180608,0.0,36,36.0,65,65.0,1.8055555555555556,1.805555555555556,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,26328.488059286796,0.3425373035180608,36,1.8055555555555556,True
6,5,0.6315518486850143,21518.785391949037,7.588900050940442,0.3362122752994215,0.0008661340944515,25,25.4,57,57.0,2.28,2.244923076923077,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,21518.785391949037,0.3362122752994215,25,2.28,True
6,6,0.6315518486850143,18334.972599316407,4.439449367885761,0.3424921406652564,0.0006609665940769,25,25.2,49,47.6,1.96,1.8895384615384616,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,18334.972599316407,0.3424921406652564,25,1.96,True
6,7,0.6315518486850143,16550.691050911402,45.863311576321415,0.3227763067668053,0.003664886338724,17,17.8,46,43.2,2.5555555555555554,2.438758169934641,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,16550.691050911402,0.3227763067668053,17,2.5555555555555554,True
6,8,0.6315518486850143,15210.135072285751,74.81570658889935,0.3137948382092843,0.0092803412836389,7,10.0,46,42.0,6.571428571428571,4.643860877684407,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,15210.135072285751,0.3137948382092843,7,6.571428571428571,False
6,9,0.6315518486850143,13984.344528926556,92.72703130430436,0.291868568273713,0.0104683613831044,8,11.2,39,35.4,4.875,3.4075,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,13984.344528926556,0.291868568273713,8,4.875,False
7,2,0.6583129599827003,47147.50311684,0.0,0.4470742338327166,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,47147.50311684,0.4470742338327166,101,1.00990099009901,True
7,3,0.6583129599827003,36115.13208642911,0.0,0.4128534199313816,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,36115.13208642911,0.4128534199313816,34,3.0,True
7,4,0.6583129599827003,29632.201136716136,13.043292459028413,0.3355005136266872,0.001112167657412,34,35.2,67,65.8,1.9705882352941175,1.8715686274509804,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,29632.201136716136,0.3355005136266872,34,1.9705882352941175,True
7,5,0.6583129599827003,24831.69148184686,2.4264304059043775,0.3274837714783219,0.0006026036595165,25,25.0,65,64.2,2.6,2.568,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,24831.69148184686,0.3274837714783219,25,2.6,True
7,6,0.6583129599827003,21379.284071971764,6.702961351435253,0.3220805670572101,0.0010442160316357,25,25.4,49,48.0,1.96,1.892148148148148,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,21379.284071971764,0.3220805670572101,25,1.96,True
7,7,0.6583129599827003,19561.667892514175,17.614586062221598,0.3019876957833657,0.0023500569894721,17,18.6,40,39.0,2.3529411764705883,2.106143790849673,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,19561.667892514175,0.3019876957833657,17,2.3529411764705883,True
7,8,0.6583129599827003,17826.87613732396,61.77566311787504,0.3036082494525026,0.0042969830859013,10,10.0,42,40.4,4.2,4.04,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,17826.87613732396,0.3036082494525026,10,4.2,False
7,9,0.6583129599827003,16595.200411764712,206.22470731866292,0.2929682559521701,0.009827730341849,8,9.0,42,39.6,5.125,4.428333333333333,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,16595.200411764712,0.2929682559521701,8,5.125,False
8,2,0.6798344860630245,50172.60684295553,0.0,0.4324127309104183,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,50172.60684295553,0.4324127309104183,101,1.00990099009901,True
8,3,0.6798344860630245,39140.230283755554,0.0,0.3951125576214253,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,39140.230283755554,0.3951125576214253,34,3.0,True
8,4,0.6798344860630245,32648.39907102246,10.181293266842086,0.3177502841404295,0.0009920316716079,34,34.4,67,66.6,1.9705882352941175,1.9375816993464052,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,32648.39907102246,0.3177502841404295,34,1.9705882352941175,True
8,5,0.6798344860630245,27844.558067501406,9.215595781467949,0.3091091676106302,0.0007451960119804,25,25.4,65,64.4,2.6,2.5363076923076924,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,27844.558067501406,0.3091091676106302,25,2.6,True
8,6,0.6798344860630245,24252.03048360108,9.646234884671124,0.3039329374245563,0.0022977794348781,25,25.0,49,48.2,1.96,1.928,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,24252.03048360108,0.3039329374245563,25,1.96,True
8,7,0.6798344860630245,22197.59914149973,168.5315143917305,0.2940677523503937,0.0046173749360645,10,15.6,47,41.2,4.7,2.8105882352941176,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,22197.59914149973,0.2940677523503937,10,4.7,False
8,8,0.6798344860630245,20403.647145831557,24.07032376853953,0.2889289009045463,0.0053072058788488,10,14.2,42,40.8,4.1,3.0423529411764703,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,20403.647145831557,0.2889289009045463,10,4.1,False
8,9,0.6798344860630245,19151.857780027996,176.24742648214044,0.2784545871546365,0.0105106409859686,8,11.4,42,37.6,4.75,3.502066365007541,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,19151.857780027996,0.2784545871546365,8,4.75,False
10,2,0.7182515077808507,55582.05999669722,0.0,0.4096471234846316,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,55582.05999669722,0.4096471234846316,101,1.00990099009901,True
10,3,0.7182515077808507,44472.072546367635,0.0,0.3704077542221168,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,44472.072546367635,0.3704077542221168,34,3.0,True
10,4,0.7182515077808507,37973.18220628532,2.339568281656825,0.2924975003486668,0.0003384099415492,34,34.0,67,67.0,1.9705882352941175,1.9705882352941175,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,37973.18220628532,0.2924975003486668,34,1.9705882352941175,True
10,5,0.7182515077808507,33238.289769435316,13.30516860290372,0.2788969113686909,0.0009953322517964,25,25.6,65,64.8,2.6,2.5323076923076924,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,33238.289769435316,0.2788969113686909,25,2.6,True
10,6,0.7182515077808507,29658.51800513192,180.9742983668844,0.2701481604889122,0.0026854836977857,24,24.8,49,48.4,2.0,1.952,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,29658.51800513192,0.2701481604889122,24,2.0,True
10,7,0.7182515077808507,27353.79116551023,46.23206670941687,0.2598680623393699,0.0073877865391939,17,17.8,48,40.6,2.823529411764706,2.2889576883384932,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,27353.79116551023,0.2598680623393699,17,2.823529411764706,True
10,8,0.7182515077808507,25418.40393392761,217.34497884437897,0.2488256001856496,0.0053565405534251,9,15.6,37,36.0,4.111111111111111,2.48235294117647,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,25418.40393392761,0.2488256001856496,9,4.111111111111111,False
10,9,0.7182515077808507,23581.845114328007,201.8671458568977,0.2557836899182409,0.0040109320048828,7,11.4,39,36.6,5.571428571428571,3.5378968253968255,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,23581.845114328007,0.2557836899182409,7,5.571428571428571,False
12,2,0.7481380751372365,59787.635087067014,0.0,0.3932835491450345,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,59787.635087067014,0.3932835491450345,101,1.00990099009901,True
12,3,0.7481380751372365,48657.00708844909,0.0,0.354982268623162,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/results/phase2_tuning/phase2_all_results_virchow_averaged.csv,48657.00708844909,0.354982268623162,34,3.0,True
