pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs,model_name,model_display,source_file,inertia_value,silhouette_value,min_cluster_size,cluster_size_ratio,fold_eligible
2,3,0.4576112023988555,8592.549995266272,0.0,0.663274852372222,0.0,35,35.0,101,101.0,2.8857142857142857,2.8857142857142857,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,8592.549995266272,0.663274852372222,35,2.8857142857142857,True
2,2,0.4576112023988555,18985.82748950897,0.0,0.653076671873961,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,18985.82748950897,0.653076671873961,101,1.00990099009901,True
3,2,0.5187827064349908,27483.627671857295,0.0,0.5720635104063981,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,27483.627671857295,0.5720635104063981,101,1.00990099009901,True
3,3,0.5187827064349908,16790.71221355462,0.0,0.5639015131943091,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,16790.71221355462,0.5639015131943091,34,3.0,True
4,2,0.5622474675502339,33603.47092427231,0.0,0.5306416341183697,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,33603.47092427231,0.5306416341183697,101,1.00990099009901,True
2,4,0.4576112023988555,6606.960392165607,0.0,0.5211249639446848,0.0,25,25.0,77,77.0,3.08,3.08,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,6606.960392165607,0.5211249639446848,25,3.08,True
4,3,0.5622474675502339,22821.03042055501,0.0,0.5130769241534342,0.0,34,34.0,102,102.0,3.0,3.0,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,22821.03042055501,0.5130769241534342,34,3.0,True
5,2,0.598706412791446,38743.53989708403,0.0,0.4962161766447187,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,38743.53989708403,0.4962161766447187,101,1.00990099009901,True
2,6,0.4576112023988555,3598.496185148667,5.544052280571525,0.4942676832547755,0.0011901686481632,19,19.4,58,56.4,3.0526315789473686,2.908421052631579,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,3598.496185148667,0.4942676832547755,19,3.0526315789473686,True
3,4,0.5187827064349908,11376.968816549595,0.0,0.4914085175537996,0.0,34,34.0,68,68.0,2.0,2.0,5,virchow,Virchow,results/phase2/tuning/phase2_all_results_virchow_averaged.csv,11376.968816549595,0.4914085175537996,34,2.0,True
