var_a,var_b,cramers_v,pair,pair_label,pair_wrapped
alcohol_consumption,dysplasia_severity,0.4142231888654523,alcohol_consumption x dysplasia_severity,Alcohol Consumption x Dysplasia Severity,Alcohol Consumption x<br>Dysplasia Severity
localization,dysplasia_severity,0.4185513146249605,localization x dysplasia_severity,Localization x Dysplasia Severity,Localization x Dysplasia<br>Severity
gender,alcohol_consumption,0.4435324224604925,gender x alcohol_consumption,Gender x Alcohol Consumption,Gender x Alcohol Consumption
gender,localization,0.4590378558443243,gender x localization,Gender x Localization,Gender x Localization
skin_color,tobacco_use,0.5049529633524112,skin_color x tobacco_use,Skin Color x Tobacco Use,Skin Color x Tobacco Use
skin_color,alcohol_consumption,0.5058937142539258,skin_color x alcohol_consumption,Skin Color x Alcohol Consumption,Skin Color x Alcohol<br>Consumption
diagnosis,localization,0.5806398615130428,diagnosis x localization,Diagnosis x Localization,Diagnosis x Localization
skin_color,sun_exposure,0.6030483237284164,skin_color x sun_exposure,Skin Color x Sun Exposure,Skin Color x Sun Exposure
tobacco_use,alcohol_consumption,0.6205957083838215,tobacco_use x alcohol_consumption,Tobacco Use x Alcohol Consumption,Tobacco Use x Alcohol<br>Consumption
alcohol_consumption,sun_exposure,0.692542480550346,alcohol_consumption x sun_exposure,Alcohol Consumption x Sun Exposure,Alcohol Consumption x Sun<br>Exposure
diagnosis,dysplasia_severity,0.7071067811865476,diagnosis x dysplasia_severity,Diagnosis x Dysplasia Severity,Diagnosis x Dysplasia Severity
tobacco_use,sun_exposure,0.7268444323050972,tobacco_use x sun_exposure,Tobacco Use x Sun Exposure,Tobacco Use x Sun Exposure
