patch_id,ndb_ufes_patch_label,ndb_ufes_patch_label_status,sab_patch_label,patch_label_agreement_status,final_validated_wsi_id,public_wsi_pseudonym
p0000,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0001,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0002,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0003,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0004,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0005,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0006,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0007,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0008,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0009,oscc,available,oscc,agrees,sab_only_wsi_0009,sab_only_wsi_0009
p0010,oscc,available,oscc,agrees,sab_only_wsi_0010,sab_only_wsi_0010
p0011,oscc,available,oscc,agrees,sab_only_wsi_0010,sab_only_wsi_0010
p0012,oscc,available,oscc,agrees,sab_only_wsi_0010,sab_only_wsi_0010
p0013,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0014,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0015,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0016,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0017,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0018,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0019,oscc,available,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013
p0020,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0021,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0022,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0023,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0024,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0025,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0026,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0027,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0028,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0029,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0030,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0031,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0032,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0033,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0034,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0035,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0036,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0037,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0038,oscc,available,oscc,agrees,sab_only_wsi_0013,sab_only_wsi_0013
p0039,oscc,available,oscc,agrees,sab_only_wsi_0013,sab_only_wsi_0013
p0040,oscc,available,oscc,agrees,sab_only_wsi_0013,sab_only_wsi_0013
p0041,oscc,available,oscc,agrees,sab_only_wsi_0013,sab_only_wsi_0013
p0042,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
p0043,oscc,available,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012
