pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs
2,2,0.45824173753608977,7.144004198245666,0.0,0.5559692911494287,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
2,3,0.45824173753608977,4.532005889631941,0.0,0.5253181789375895,0.0,49,49.0,102,102.0,2.0816326530612246,2.0816326530612246,5
2,4,0.45824173753608977,2.408192083487155,0.0,0.5239711491136594,0.0,48,48.0,54,54.0,1.125,1.125,5
2,5,0.45824173753608977,1.7537195391865137,0.00054227970692591,0.514648067189999,0.0006153671361636806,27,27.6,54,53.8,2.0,1.95,5
2,6,0.45824173753608977,1.2183579638898514,0.00026490460887236095,0.500578748146692,0.0006450165979623192,26,26.0,39,39.0,1.5,1.5,5
2,7,0.45824173753608977,1.0198542805720134,0.001942796129455854,0.47632131933656013,0.0026547233576783118,19,19.8,39,38.8,2.0526315789473686,1.9707093821510298,5
2,8,0.45824173753608977,0.8598682306763422,0.0031296217587396553,0.4529755556282473,0.0039633354774409055,18,18.6,37,32.2,2.0555555555555554,1.7362573099415204,5
2,9,0.45824173753608977,0.7329124532622903,0.0031582061907376286,0.45538004606599747,0.003765327215416005,12,12.8,31,30.0,2.5833333333333335,2.3474358974358975,5
3,2,0.5398409003685483,10.1977280440563,0.0,0.4628716319767091,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
3,3,0.5398409003685483,7.468200992601785,0.0,0.41951955325726403,0.0,50,50.0,102,102.0,2.04,2.04,5
3,4,0.5398409003685483,5.326346562312393,0.0,0.3924790608636572,0.0,50,50.0,51,51.0,1.02,1.02,5
3,5,0.5398409003685483,4.519956150470656,0.006706199847789151,0.3785475074496442,0.002688500708338967,18,19.4,54,52.0,3.0,2.6939849624060153,5
3,6,0.5398409003685483,3.9059281783120063,0.003521733092759333,0.3599805134653101,0.017775533475243296,18,18.0,54,49.6,3.0,2.7555555555555555,5
3,7,0.5398409003685483,3.316565519995416,0.030384645609247467,0.34816702247949516,0.003068944320245976,18,18.0,43,40.6,2.388888888888889,2.2555555555555555,5
3,8,0.5398409003685483,2.7675293079172674,0.002108504821694157,0.36497922532163585,0.001338216779286648,18,18.0,40,38.8,2.2222222222222223,2.155555555555556,5
3,9,0.5398409003685483,2.5226358848160224,0.021159780350500368,0.35693859634710395,0.002050262235140963,13,14.8,36,30.8,2.769230769230769,2.103012820512821,5
4,2,0.5969607205625309,12.343590657735174,0.0,0.41388154022284784,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
4,3,0.5969607205625309,9.606462799906186,0.0,0.36418620466539237,0.0,50,50.0,102,102.0,2.04,2.04,5
4,4,0.5969607205625309,7.463971066328109,0.00014002707692108423,0.32795847625201474,7.112913466848538e-05,49,49.6,52,51.4,1.0612244897959184,1.0364897959183674,5
4,5,0.5969607205625309,6.57769161815496,0.0044714821376177745,0.30877251769833636,0.001163883567306163,22,26.0,53,51.6,2.409090909090909,2.0003367003367005,5
4,6,0.5969607205625309,5.825866534204325,0.019367254646055248,0.2885809396394151,0.001980587579603877,23,24.8,48,44.2,2.0,1.796135265700483,5
4,7,0.5969607205625309,5.2119527722209895,0.01768889042015546,0.2851008749267253,0.003819619166703364,17,19.4,39,37.2,2.176470588235294,1.9395729306215237,5
4,8,0.5969607205625309,4.679193488902318,0.03634544642016364,0.28541023971185064,0.004514410548711878,16,18.6,36,34.8,2.25,1.8880116959064328,5
4,9,0.5969607205625309,4.244338950576749,0.019479869892881706,0.29337487803465745,0.005238733564743565,13,14.4,34,31.8,2.4285714285714284,2.2203479853479853,5
5,2,0.6407776163881933,13.98761366344296,0.0,0.38960826482468003,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
5,3,0.6407776163881933,11.187700488726541,0.0018354084411701947,0.33783707588739154,0.0007315192820529505,49,49.2,102,102.0,2.0816326530612246,2.0733061224489795,5
5,4,0.6407776163881933,8.911603750799104,0.0022266815611676817,0.30206491824533377,5.8732212601765815e-05,49,49.2,52,52.0,1.0612244897959184,1.0569795918367348,5
5,5,0.6407776163881933,7.704937073291097,0.0005650278665579669,0.2985717102186653,0.00010839494160112904,17,17.0,52,51.6,3.0588235294117645,3.0352941176470587,5
5,6,0.6407776163881933,6.913049591384636,0.01390673339792072,0.27798989644766814,0.01292195326250967,17,17.8,52,46.4,3.0588235294117645,2.617956656346749,5
5,7,0.6407776163881933,6.129407973374864,0.00998750353735275,0.27428926456342684,0.0017899829774511281,15,16.0,41,39.0,2.5625,2.439019607843137,5
5,8,0.6407776163881933,5.5570888281430495,0.020652654944362137,0.2775750001290697,0.003299511681417704,16,16.8,37,34.4,2.3125,2.050735294117647,5
5,9,0.6407776163881933,5.104121402094268,0.057578745584159215,0.27849347431098187,0.003778978525656596,14,15.4,33,30.8,2.357142857142857,2.0128011204481795,5
6,2,0.6766192909968564,15.333903547673248,0.0,0.37093630785676385,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5
