pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs
2,2,0.7983775695363493,421.3128641000291,0.0,0.9701654337644179,0.0,1,1.0,202,202.0,202.0,202.0,5
2,3,0.7983775695363493,205.24999705439564,0.47029471915131255,0.7002465762561015,0.010296362535893675,1,1.0,187,184.2,187.0,184.2,5
2,4,0.7983775695363493,118.67678713062548,0.0,0.6032016258924231,0.0,1,1.0,164,164.0,164.0,164.0,5
2,5,0.7983775695363493,57.12637716808284,0.009103391196326104,0.5249532017842276,0.0006944496915900541,1,1.0,95,94.6,95.0,94.6,5
2,6,0.7983775695363493,32.01174601419176,0.035164704036619004,0.5391146354880746,0.0004891656451349908,1,1.0,90,85.8,90.0,85.8,5
2,7,0.7983775695363493,21.471518452312107,0.012885543869679312,0.5407646432277378,0.001049349232665824,1,1.0,82,79.6,82.0,79.6,5
2,8,0.7983775695363493,15.05223018535835,0.016160987990401554,0.5077636702118857,0.00034256424779716333,1,1.0,64,62.6,64.0,62.6,5
2,9,0.7983775695363493,11.372806307103385,0.05788550834984768,0.49035356966492216,0.0020831890979401834,1,1.0,57,52.0,57.0,52.0,5
3,2,0.846331841478262,623.9573167568484,0.0,0.960253706454375,0.0,1,1.0,202,202.0,202.0,202.0,5
3,3,0.846331841478262,403.04836480286224,0.008687627041340093,0.558861456422152,0.002743922148291654,1,1.0,181,180.4,181.0,180.4,5
3,4,0.846331841478262,225.08853608848062,0.20926677932384438,0.47482651780541935,0.0024065494875294426,1,1.0,114,112.8,114.0,112.8,5
3,5,0.846331841478262,143.5996093965244,0.0,0.5020929809597594,0.0,1,1.0,100,100.0,100.0,100.0,5
3,6,0.846331841478262,109.6832046738853,0.045446997339263384,0.4903044169736398,0.00194180986025433,1,1.0,92,91.6,92.0,91.6,5
3,7,0.846331841478262,86.54743325026891,0.16952899050195422,0.4637657676441901,0.028991924284611833,1,1.0,88,84.8,88.0,84.8,5
3,8,0.846331841478262,67.68933066340674,0.05558805724313078,0.42942546725164243,0.0029447254404413024,1,1.0,63,61.8,63.0,61.8,5
