pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,min_cluster_size,max_cluster_size,cluster_size_ratio,run,random_state
2,2,0.7718469225525996,15686.152395793977,0.46881531673292326,69,134,1.9420289855072463,4,45
2,3,0.7718469225525996,11111.093804084707,0.3934417300539996,51,82,1.607843137254902,4,45
2,4,0.7718469225525996,7789.846520716288,0.40796925302936876,26,67,2.576923076923077,4,45
2,5,0.7718469225525996,6491.143815196447,0.40064669986069784,26,61,2.3461538461538463,4,45
2,6,0.7718469225525996,5230.002568826647,0.40661804755556374,18,52,2.888888888888889,4,45
2,7,0.7718469225525996,4367.692887993629,0.38211896484761365,14,38,2.7142857142857144,4,45
2,8,0.7718469225525996,3737.4571352347493,0.3951688414616172,6,36,6.0,4,45
2,9,0.7718469225525996,3356.2347884099554,0.3819014677413291,6,36,6.0,4,45
3,2,0.8402546895891553,18670.09549164121,0.42859485044229895,69,134,1.9420289855072463,4,45
3,3,0.8402546895891553,14078.51315566426,0.3354274199867871,51,85,1.6666666666666667,4,45
3,4,0.8402546895891553,10739.121945020786,0.3408814848882789,26,67,2.576923076923077,4,45
3,5,0.8402546895891553,9407.77154992368,0.32808674767360635,19,59,3.1052631578947367,4,45
3,6,0.8402546895891553,8110.301310838358,0.32737516695492225,18,51,2.8333333333333335,4,45
3,7,0.8402546895891553,7195.001308362961,0.29107111125726337,15,37,2.466666666666667,4,45
3,8,0.8402546895891553,6420.466835313964,0.3067232502855141,14,34,2.4285714285714284,4,45
3,9,0.8402546895891553,5801.720910543444,0.316162470903826,6,34,5.666666666666667,4,45
4,2,0.8945248429555972,21039.763825094626,0.4035159473086709,69,134,1.9420289855072463,4,45
4,3,0.8945248429555972,16429.145487384794,0.30252455122134453,52,84,1.6153846153846154,4,45
4,4,0.8945248429555972,13080.054605041401,0.2989851971799981,26,66,2.5384615384615383,4,45
4,5,0.8945248429555972,11676.45440166439,0.2853923636216008,25,58,2.32,4,45
4,6,0.8945248429555972,10357.365728944871,0.2780088959307568,19,51,2.6842105263157894,4,45
4,7,0.8945248429555972,9442.028143622725,0.2409595186561173,17,36,2.1176470588235294,4,45
4,8,0.8945248429555972,8744.645675426405,0.2537537586072375,17,39,2.2941176470588234,4,45
4,9,0.8945248429555972,7973.666629811536,0.2601548406148869,10,35,3.5,4,45
5,2,0.9262165306714146,22415.449847817938,0.39284660021869283,69,134,1.9420289855072463,4,45
5,3,0.9262165306714146,17550.208786768173,0.2958301318844908,52,84,1.6153846153846154,4,45
5,4,0.9262165306714146,13858.943358508484,0.2953696022516823,30,69,2.3,4,45
5,5,0.9262165306714146,12227.545425486389,0.29412659131600205,22,62,2.8181818181818183,4,45
5,6,0.9262165306714146,10943.400679856823,0.2787335906035614,19,51,2.6842105263157894,4,45
5,7,0.9262165306714146,10073.900810152758,0.23335696658627506,16,37,2.3125,4,45
5,8,0.9262165306714146,9333.752315526759,0.2435965642250878,14,35,2.5,4,45
5,9,0.9262165306714146,8684.615841310904,0.24390788241218234,14,33,2.357142857142857,4,45
6,2,0.9434499794652423,23164.272935705103,0.3865597724885519,69,134,1.9420289855072463,4,45
6,3,0.9434499794652423,18295.120713510485,0.28478174542359835,52,86,1.6538461538461537,4,45
6,4,0.9434499794652423,14569.667283233104,0.286566718540028,26,67,2.576923076923077,4,45
6,5,0.9434499794652423,12917.451327664583,0.2852063287190205,22,63,2.8636363636363638,4,45
6,6,0.9434499794652423,11615.740306245112,0.2663771365460888,20,51,2.55,4,45
6,7,0.9434499794652423,10774.165295866269,0.2214753247146451,14,39,2.7857142857142856,4,45
6,8,0.9434499794652423,10143.267833222324,0.2532464746212803,7,45,6.428571428571429,4,45
6,9,0.9434499794652423,9261.417879675848,0.23415590959267987,7,35,5.0,4,45
7,2,0.9589205939870277,23837.747418189854,0.3784067560500695,71,132,1.8591549295774648,4,45
7,3,0.9589205939870277,18965.966666216897,0.2765410522325288,52,86,1.6538461538461537,4,45
7,4,0.9589205939870277,15227.6244242758,0.2773133219097234,26,67,2.576923076923077,4,45
7,5,0.9589205939870277,13671.329021183283,0.26650250435245243,20,61,3.05,4,45
7,6,0.9589205939870277,12264.684699064075,0.2576737906316983,19,52,2.736842105263158,4,45
7,7,0.9589205939870277,11392.530429395263,0.2609306943648753,17,49,2.8823529411764706,4,45
7,8,0.9589205939870277,10602.787228534577,0.22736414902815588,16,36,2.25,4,45
7,9,0.9589205939870277,9999.979753756184,0.21711974349798385,14,34,2.4285714285714284,4,45
8,2,0.9697216159585136,24297.89876514778,0.3762660032527945,70,133,1.9,4,45
8,3,0.9697216159585136,19428.051148600956,0.27093568736491613,53,85,1.6037735849056605,4,45
8,4,0.9697216159585136,15689.608718512032,0.2717799321397303,26,67,2.576923076923077,4,45
8,5,0.9697216159585136,14173.972307203701,0.2540096237315171,20,59,2.95,4,45
8,6,0.9697216159585136,12714.313200279186,0.24741752502040715,19,50,2.6315789473684212,4,45
8,7,0.9697216159585136,11926.82759197073,0.20643824781052067,15,36,2.4,4,45
8,8,0.9697216159585136,11139.375688709335,0.21772209830897435,15,35,2.3333333333333335,4,45
8,9,0.9697216159585136,10545.554398288856,0.23254635756481729,5,45,9.0,4,45
10,2,0.9827059705657305,24864.96519983969,0.3733042042286828,68,135,1.9852941176470589,4,45
10,3,0.9827059705657305,19990.60287031691,0.2653951190975079,53,85,1.6037735849056605,4,45
10,4,0.9827059705657305,16241.163905712652,0.26596894879898003,26,67,2.576923076923077,4,45
10,5,0.9827059705657305,14588.397590407028,0.2628902025575971,22,62,2.8181818181818183,4,45
10,6,0.9827059705657305,13232.456030774607,0.2417042537603619,19,50,2.6315789473684212,4,45
