pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs
2,2,0.35048344430219436,4362.6041927750375,0.0,0.41485453058524574,0.0,99,99.0,104,104.0,1.0505050505050506,1.0505050505050506,5
2,3,0.35048344430219436,3038.076046019579,0.5072851441092984,0.42045093442402964,0.001035636978627705,42,44.8,95,94.6,2.261904761904762,2.114238659890834,5
2,4,0.35048344430219436,2214.038630445028,0.47774635014118455,0.3946001381446787,0.00027516091246587954,36,36.0,69,69.0,1.9166666666666667,1.9166666666666667,5
2,5,0.35048344430219436,1602.5901049396357,1.636687199783429,0.40595650761427604,0.00035119198908020857,29,29.8,54,49.2,1.8620689655172413,1.6524137931034484,5
2,6,0.35048344430219436,1307.1883106466994,2.257159400570168,0.41564297136917094,0.0009886019978412655,28,29.6,42,41.8,1.4642857142857142,1.4128571428571428,5
2,7,0.35048344430219436,1083.177762801562,5.289105911299587,0.4180950466115987,0.005146214444451379,15,15.8,44,38.4,2.466666666666667,2.4364912280701754,5
2,8,0.35048344430219436,889.878250622642,0.4846050485875017,0.4286761333102901,0.004005523631870322,12,12.0,39,38.4,3.25,3.2,5
2,9,0.35048344430219436,793.2903085375608,2.8370318697626806,0.4184081245755082,0.004940713218836495,11,12.2,38,34.2,3.1666666666666665,2.8205128205128203,5
3,2,0.4405898279454622,6514.466277048361,0.49483468689747645,0.3357276296955996,5.784714240895034e-05,99,99.6,104,103.4,1.0505050505050506,1.0382020202020201,5
3,3,0.4405898279454622,4859.713509161588,2.6031912993603727,0.34081931932405085,0.0007694935638187276,63,64.0,75,73.4,1.1904761904761905,1.1470856227106228,5
3,4,0.4405898279454622,3604.3385493323995,7.79248051194738,0.35828419681637336,0.003997054775433154,21,21.8,68,66.4,3.238095238095238,3.0582857142857143,5
3,5,0.4405898279454622,2816.684414497304,0.05637999044704605,0.36698563507820353,0.00013519355674783534,20,20.0,55,55.0,2.75,2.75,5
3,6,0.4405898279454622,2330.6307952903844,0.0864668588248339,0.3733531062671612,0.0002663134643731231,20,20.0,50,49.4,2.5,2.47,5
3,7,0.4405898279454622,1995.5969767560177,0.705013479988356,0.3591553797141359,0.0003094558524934574,16,16.0,39,39.0,2.4375,2.4375,5
3,8,0.4405898279454622,1789.04495957041,4.863498694343492,0.3491119755378275,0.003230737157521746,14,15.6,34,32.6,2.2857142857142856,2.094642857142857,5
3,9,0.4405898279454622,1632.9331916321078,8.661621104550187,0.34316114567654443,0.006095574550352412,13,14.6,31,30.4,2.3846153846153846,2.093827838827839,5
4,2,0.5126669900109692,8239.245105471302,0.4453840310827756,0.29023644113963626,7.536485284597412e-05,100,100.4,103,102.6,1.03,1.021960396039604,5
4,3,0.5126669900109692,6475.283912137227,0.0,0.28796611336791844,0.0,54,54.0,75,75.0,1.3888888888888888,1.3888888888888888,5
4,4,0.5126669900109692,5218.074086825063,4.731757392198307,0.2991549089572711,0.0038895464651955572,21,22.2,75,69.6,3.5714285714285716,3.168065268065268,5
4,5,0.5126669900109692,4305.166163698261,9.41609655385773,0.308613313603246,0.002024565136802732,20,20.6,55,54.4,2.75,2.6423809523809525,5
4,6,0.5126669900109692,3670.3622392202624,4.578224201063866,0.3197708826139386,0.00037082270343295753,20,20.8,50,47.8,2.5,2.3,5
4,7,0.5126669900109692,3240.168199367222,1.4500434091519447,0.31777844846154807,0.001171819962463291,19,19.8,48,47.6,2.473684210526316,2.404736842105263,5
4,8,0.5126669900109692,2912.2070869133368,2.458163917552075,0.2993985666106882,0.0010060744421592246,16,16.0,32,31.2,2.0,1.95,5
4,9,0.5126669900109692,2694.333967427368,5.562089725723651,0.29475625240800774,0.005892958702460148,11,14.8,32,31.4,2.8181818181818183,2.164469696969697,5
5,2,0.5601140877143415,9379.08771574363,0.41016578287501143,0.2670421335905914,1.2931427973342697e-05,100,100.4,103,102.6,1.03,1.021960396039604,5
5,3,0.5601140877143415,7540.519239136821,0.0,0.26288634745538714,0.0,54,54.0,75,75.0,1.3888888888888888,1.3888888888888888,5
5,4,0.5601140877143415,6256.9268765451125,2.2225358813079485,0.26473228858254905,0.002837616194824626,33,33.6,61,59.6,1.8484848484848484,1.774331550802139,5
5,5,0.5601140877143415,5204.071866467844,5.745547079685773,0.291701202507055,0.0018627551720337909,21,21.8,54,52.4,2.5714285714285716,2.4075757575757577,5
5,6,0.5601140877143415,4489.808914530658,2.5564404303189763,0.2993680031875319,0.0003839641690204524,19,20.4,49,49.0,2.5789473684210527,2.405789473684211,5
5,7,0.5601140877143415,4035.8196669261974,4.903763370102849,0.2924218768289624,0.00038780218230758496,19,19.8,49,47.6,2.5789473684210527,2.4057894736842105,5
