model_name,embeddings_file,pca_components,kmeans_clusters,silhouette_score,silhouette_std,explained_variance,inertia,inertia_std,min_cluster_size,mean_min_cluster_size,max_cluster_size,mean_max_cluster_size,max_cluster_size_ratio,mean_cluster_size_ratio,selection_constraints,random_state,runs,eligibility_status,eligible_configuration_count,configurations_evaluated,eligibility_reason
virchow,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_virchow_20260628_223154.pkl,2.0,3.0,0.663274852372222,0.0,0.45761120239885555,8592.549995266272,0.0,35.0,35.0,101.0,101.0,2.8857142857142857,2.8857142857142857,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,91,112,
mocov3_vit_small,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_mocov3_vit_small_20260628_223426.pkl,2.0,2.0,0.5559692911494287,0.0,0.45824173753608977,7.144004198245666,0.0,101.0,101.0,102.0,102.0,1.00990099009901,1.00990099009901,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,112,112,
efficientnet_b0,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_efficientnet_b0_20260628_225001.pkl,2.0,3.0,0.5422897037178036,0.0,0.3622572545293913,1263.8725517303888,0.0,45.0,45.0,102.0,102.0,2.2666666666666666,2.2666666666666666,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,103,112,
deit_base_patch16_224,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_deit_base_patch16_224_20260628_224653.pkl,2.0,2.0,0.536994090130785,0.0,0.3383158796514987,2596.6031117901757,0.0,97.0,97.0,106.0,106.0,1.092783505154639,1.092783505154639,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,94,112,
vit_large_patch16_224,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_vit_large_patch16_224_20260628_224317.pkl,2.0,4.0,0.5362036496362029,0.0,0.37208488441910786,1511.0099464208565,0.0,39.0,39.0,66.0,66.0,1.6923076923076923,1.6923076923076923,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,89,112,
efficientnet_b1,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_efficientnet_b1_20260628_225036.pkl,2.0,2.0,0.5279402553186235,0.0,0.37349145909455567,283.50039420567225,0.0,96.0,96.0,107.0,107.0,1.1145833333333333,1.1145833333333333,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,101,112,
vit_base_patch32_224,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_vit_base_patch32_224_20260628_224433.pkl,2.0,3.0,0.4961210140993044,0.0,0.5425583511643464,142.50866991768333,0.0,44.0,44.0,93.0,93.0,2.1136363636363638,2.1136363636363638,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,110,112,
uni,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_uni_20260628_222232.pkl,2.0,2.0,0.4688153167329233,0.0,0.7718469225525996,15686.152395793975,0.0,69.0,69.0,134.0,134.0,1.9420289855072463,1.9420289855072466,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,81,112,
vit_base_patch16_224,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_vit_base_patch16_224_20260628_223650.pkl,2.0,8.0,0.4286761333102901,0.004005523631870322,0.35048344430219436,889.878250622642,0.4846050485875017,12.0,12.0,39.0,38.4,3.25,3.2,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,106,112,
ctranspath,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_ctranspath_20260628_223322.pkl,2.0,4.0,0.41023537575618285,0.00040002587440352775,0.8016267133679807,2396.9111386140626,0.33500115024178784,20.0,20.0,75.0,73.6,3.75,3.6799999999999997,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",42.0,5.0,eligible,57,112,
swin_base_patch4_window7_224,/Volumes/ssd/thesis_organization/ndb_ufes_data_organizer/data/embeddings/embeddings_wsi_level_swin_base_patch4_window7_224_20260628_224929.pkl,,,,,,,,,,,,,,"{'min_cluster_size': 11, 'max_cluster_size_ratio': 5.0}",,,rejected,0,112,"No clustering configuration satisfies the fold-readiness constraints: minimum cluster size 11, maximum size ratio 5.0"
