pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs
2,2,0.8016267133679807,5032.564716260264,0.399158233197081,0.3654832859024498,9.167765119683057e-05,92,92.6,111,110.4,1.2065217391304348,1.1922861150070125,5
2,3,0.8016267133679807,3147.4734898383504,0.0,0.4006583495041475,0.0,41,41.0,86,86.0,2.097560975609756,2.097560975609756,5
2,4,0.8016267133679807,2396.9111386140626,0.33500115024178784,0.41023537575618285,0.00040002587440352775,20,20.0,75,73.6,3.75,3.6799999999999997,5
2,5,0.8016267133679807,1881.576565218583,0.0,0.3874089993118929,0.0,19,19.0,55,55.0,2.8947368421052633,2.8947368421052633,5
2,6,0.8016267133679807,1612.2978234671095,2.2153891107013166,0.37998116039550506,0.0025087589102550808,11,13.4,55,55.0,5.0,4.142857142857143,5
2,7,0.8016267133679807,1397.5049538454628,8.128879203217517,0.37578452162229026,0.0004794371031039834,5,8.6,55,55.0,11.0,6.844444444444444,5
2,8,0.8016267133679807,1245.289953575785,12.483747199221751,0.3486531063233245,0.0016255586127053268,7,9.0,44,40.0,5.285714285714286,4.533910533910534,5
2,9,0.8016267133679807,1121.4365029174573,7.769563668358516,0.34337405437738344,0.007492085762806652,4,6.4,38,34.8,9.25,6.21,5
3,2,0.847159061494191,5507.350841985091,0.6543345135568019,0.3481931214096572,7.608036351347121e-05,92,92.8,111,110.2,1.2065217391304348,1.187540906965872,5
3,3,0.847159061494191,3613.365059382172,0.0,0.377107910211438,0.0,41,41.0,87,87.0,2.1219512195121952,2.1219512195121952,5
3,4,0.847159061494191,2778.4679225454065,0.5453272782306207,0.37732208685820046,0.00013978125495309334,19,19.0,72,70.4,3.789473684210526,3.705263157894737,5
3,5,0.847159061494191,2258.249931626532,3.3210015328630047,0.3562645822432799,0.0020704883212085126,15,16.6,57,55.4,3.8,3.3873684210526314,5
3,6,0.847159061494191,1949.016405351854,14.541893834319387,0.34592721394247006,0.004886797371918807,10,11.8,55,54.4,5.4,4.666580086580086,5
3,7,0.847159061494191,1721.7208991516368,11.107986365313314,0.3406171269017144,0.011020354319191574,8,9.6,55,50.6,6.875,5.382272727272728,5
3,8,0.847159061494191,1560.1534529369032,15.830574448348903,0.3164624350814122,0.006618568130970353,8,9.6,51,43.4,6.375,4.595000000000001,5
3,9,0.847159061494191,1407.6176550316281,11.810276208312166,0.3036681925370776,0.00779588023917845,8,9.2,38,35.0,4.625,3.8516666666666666,5
4,2,0.882083797205801,5874.754780287702,0.0,0.33437095964216185,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
4,3,0.882083797205801,3979.7255310917726,0.0,0.3571077335412441,0.0,41,41.0,87,87.0,2.1219512195121952,2.1219512195121952,5
4,4,0.882083797205801,3141.9788188346993,0.0,0.35350425077526243,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
4,5,0.882083797205801,2616.934153345668,3.8882507813817613,0.32915839758274956,0.0012626057623708058,15,17.4,54,54.0,3.6,3.1452631578947368,5
4,6,0.882083797205801,2318.025755107961,12.835769407907136,0.3214351609444891,0.008323154507474126,9,10.0,55,54.4,6.0,5.481818181818182,5
4,7,0.882083797205801,2085.08501696827,17.70490478840168,0.3053935420398129,0.010460552674283786,5,9.4,54,50.6,10.8,6.026868686868687,5
4,8,0.882083797205801,1924.8226513875732,21.691511555534262,0.29637960593975926,0.020065529158969832,2,6.8,54,49.4,27.0,10.691666666666666,5
4,9,0.882083797205801,1779.4405248063863,19.140842738278735,0.27842276388415477,0.019132234680625047,2,6.2,49,36.6,24.5,8.861666666666668,5
5,2,0.9115072707284387,6184.611033673501,0.0,0.3291759253393783,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
5,3,0.9115072707284387,4289.011178859705,0.0,0.35030682886141207,0.0,41,41.0,87,87.0,2.1219512195121952,2.1219512195121952,5
5,4,0.9115072707284387,3444.728475567583,0.0,0.34635802319320763,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
5,5,0.9115072707284387,2922.827452575607,0.4208446006531596,0.3220143938758869,0.0006661990775942676,18,18.8,54,54.0,3.0,2.873684210526316,5
5,6,0.9115072707284387,2605.8994042193845,9.089309485376736,0.31003115815473137,0.0023078587391663417,10,11.2,57,55.6,5.5,4.989393939393939,5
5,7,0.9115072707284387,2354.4985217956564,27.967780202278846,0.31105037190102325,0.015520697561120731,1,3.0,55,52.6,55.0,44.6,5
5,8,0.9115072707284387,2101.305578188454,13.925224611542086,0.3036779549229167,0.01094772694213141,1,1.0,55,52.2,55.0,52.2,5
5,9,0.9115072707284387,1935.4431848919726,15.35252365209936,0.2818758933868742,0.012214016865680787,1,1.0,53,47.2,53.0,47.2,5
6,2,0.9235787994686755,6311.765735073596,0.0,0.32594268951544475,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
6,3,0.9235787994686755,4415.028045792571,0.0,0.3454963866847699,0.0,41,41.0,87,87.0,2.1219512195121952,2.1219512195121952,5
6,4,0.9235787994686755,3570.67849863223,0.0,0.340101700466308,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
6,5,0.9235787994686755,3046.4956501963693,2.0277737838094017,0.31537555904312803,0.0007465605457099881,15,17.4,59,55.4,3.933333333333333,3.232982456140351,5
6,6,0.9235787994686755,2723.1915902429278,5.332483450043956,0.30464112376156016,0.0033302394819778643,10,11.6,55,54.4,5.4,4.725920745920746,5
6,7,0.9235787994686755,2482.294762883195,19.540136067685392,0.3037298245458303,0.010143452068658361,1,2.4,56,55.0,56.0,45.55,5
6,8,0.9235787994686755,2238.8483664996247,18.346252975900335,0.28958035545150584,0.015785047300404566,1,1.0,54,49.2,54.0,49.2,5
6,9,0.9235787994686755,2075.853977625492,16.21553080810786,0.2756954634870475,0.012544635329768333,1,1.0,53,45.2,53.0,45.2,5
7,2,0.9315412908271629,6395.518588310967,0.0,0.3241718500713298,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
7,3,0.9315412908271629,4498.163732187559,0.0,0.3431978319994737,0.0,41,41.0,87,87.0,2.1219512195121952,2.1219512195121952,5
7,4,0.9315412908271629,3653.122221793995,0.0,0.3371039298608645,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
7,5,0.9315412908271629,3131.0520283619503,1.8991683376283388,0.3126980154093555,0.002180159600379064,15,17.8,59,55.4,3.933333333333333,3.145730994152047,5
7,6,0.9315412908271629,2810.457208649147,14.894825317164686,0.29830272294008875,0.008482472358550304,11,11.4,56,54.6,5.090909090909091,4.8,5
7,7,0.9315412908271629,2580.4915651444235,19.72015136364849,0.28915462788313384,0.015548420698504378,1,4.8,55,51.2,55.0,33.82909090909091,5
7,8,0.9315412908271629,2312.0582195840275,14.317202479178068,0.2840250020689306,0.012200920432624048,1,1.0,54,48.2,54.0,48.2,5
7,9,0.9315412908271629,2165.2023062620615,16.619029150347274,0.2758339911634718,0.01803900166601416,1,1.0,55,47.0,55.0,47.0,5
8,2,0.9376826487555355,6460.1999738819495,0.0,0.32200004612996574,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
8,3,0.9376826487555355,4561.721541983876,0.0,0.34034040105471475,0.0,41,41.0,87,87.0,2.1219512195121952,2.1219512195121952,5
8,4,0.9376826487555355,3717.391300588598,0.0,0.33364272692929453,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
8,5,0.9376826487555355,3194.1837973593447,1.2103895064972345,0.30897799642339885,0.0020897688298815585,15,17.6,59,55.6,3.933333333333333,3.1884210526315786,5
