pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,min_cluster_size,max_cluster_size,cluster_size_ratio,run,random_state
2,2,0.8016267133679809,5033.001972196936,0.3653828580672906,92,111,1.2065217391304348,2,43
2,3,0.8016267133679809,3147.4734898383504,0.4006583495041476,41,86,2.097560975609756,2,43
2,4,0.8016267133679809,2397.5049166693266,0.4106558567014673,20,72,3.6,2,43
2,5,0.8016267133679809,1881.5765652185828,0.3874089993118929,19,55,2.8947368421052633,2,43
2,6,0.8016267133679809,1611.7476563152727,0.3808718607612728,14,55,3.9285714285714284,2,43
2,7,0.8016267133679809,1401.8682260626051,0.3756613497920436,10,55,5.5,2,43
2,8,0.8016267133679809,1239.7604326303347,0.3504506895310095,11,36,3.272727272727273,2,43
2,9,0.8016267133679809,1118.2142201151264,0.34128802994130203,7,38,5.428571428571429,2,43
3,2,0.8471590614941911,5507.0582146946235,0.348227145582571,93,110,1.1827956989247312,2,43
3,3,0.8471590614941911,3613.365059382172,0.377107910211438,41,87,2.1219512195121952,2,43
3,4,0.8471590614941911,2778.2240447725844,0.3772595747805894,19,70,3.6842105263157894,2,43
3,5,0.8471590614941911,2260.152721976762,0.35881479902480834,19,55,2.8947368421052633,2,43
3,6,0.8471590614941911,1946.75592993287,0.34222174237004827,12,55,4.583333333333333,2,43
3,7,0.8471590614941911,1703.0050290805104,0.34910714307856217,10,54,5.4,2,43
3,8,0.8471590614941911,1543.07679853652,0.3165568111365896,10,44,4.4,2,43
3,9,0.8471590614941911,1401.143158450811,0.308029437724073,9,37,4.111111111111111,2,43
4,2,0.882083797205801,5874.754780287702,0.33437095964216185,93,110,1.1827956989247312,2,43
4,3,0.882083797205801,3979.725531091772,0.3571077335412441,41,87,2.1219512195121952,2,43
4,4,0.882083797205801,3141.9788188346993,0.35350425077526243,19,70,3.6842105263157894,2,43
4,5,0.882083797205801,2618.181408471371,0.3312770348524683,19,54,2.8421052631578947,2,43
4,6,0.882083797205801,2308.0641459380913,0.32291248554621926,10,55,5.5,2,43
4,7,0.882083797205801,2074.6603966693365,0.3050388455350513,11,50,4.545454545454546,2,43
4,8,0.882083797205801,1952.8627642109486,0.31554089774780203,2,54,27.0,2,43
4,9,0.882083797205801,1772.5853208640451,0.2648461627509879,10,38,3.8,2,43
5,2,0.9115072707284387,6184.611033673501,0.3291759253393783,93,110,1.1827956989247312,2,43
5,3,0.9115072707284387,4289.011178859705,0.35030682886141207,41,87,2.1219512195121952,2,43
5,4,0.9115072707284387,3444.728475567583,0.34635802319320763,19,70,3.6842105263157894,2,43
5,5,0.9115072707284387,2922.6392451486017,0.32171646059107717,19,54,2.8421052631578947,2,43
5,6,0.9115072707284387,2604.3472634017817,0.30862429711650485,12,55,4.583333333333333,2,43
5,7,0.9115072707284387,2372.5363941657133,0.3011809288090043,1,55,55.0,2,43
5,8,0.9115072707284387,2084.2141328023426,0.3119291039023206,1,54,54.0,2,43
5,9,0.9115072707284387,1936.6501626899053,0.30211950434992746,1,53,53.0,2,43
6,2,0.9235787994686754,6311.765735073596,0.32594268951544475,93,110,1.1827956989247312,2,43
6,3,0.9235787994686754,4415.028045792571,0.3454963866847699,41,87,2.1219512195121952,2,43
6,4,0.9235787994686754,3570.67849863223,0.340101700466308,19,70,3.6842105263157894,2,43
6,5,0.9235787994686754,3047.4359162653113,0.3160813897612131,19,55,2.8947368421052633,2,43
6,6,0.9235787994686754,2728.889532741708,0.30144391241379875,12,55,4.583333333333333,2,43
6,7,0.9235787994686754,2473.7479167970664,0.2944329942610906,1,56,56.0,2,43
6,8,0.9235787994686754,2249.0401897449256,0.29020261247429396,1,50,50.0,2,43
6,9,0.9235787994686754,2057.347968082461,0.26622632050650147,1,39,39.0,2,43
7,2,0.9315412908271629,6395.518588310967,0.3241718500713298,93,110,1.1827956989247312,2,43
7,3,0.9315412908271629,4498.163732187559,0.3431978319994737,41,87,2.1219512195121952,2,43
7,4,0.9315412908271629,3653.122221793995,0.3371039298608645,19,70,3.6842105263157894,2,43
7,5,0.9315412908271629,3130.9942795725883,0.31477931163232725,18,55,3.0555555555555554,2,43
7,6,0.9315412908271629,2816.438632967923,0.295843394753925,11,55,5.0,2,43
7,7,0.9315412908271629,2554.924910384,0.3117807695531448,1,54,54.0,2,43
7,8,0.9315412908271629,2292.931878703629,0.29927511108965227,1,54,54.0,2,43
7,9,0.9315412908271629,2161.412207511442,0.2602226022593979,1,39,39.0,2,43
8,2,0.9376826487555356,6460.1999738819495,0.32200004612996574,93,110,1.1827956989247312,2,43
8,3,0.9376826487555356,4561.721541983876,0.34034040105471475,41,87,2.1219512195121952,2,43
8,4,0.9376826487555356,3717.3913005885984,0.33364272692929453,19,70,3.6842105263157894,2,43
8,5,0.9376826487555356,3194.8860531756127,0.3102564766694557,18,55,3.0555555555555554,2,43
8,6,0.9376826487555356,2898.441367694293,0.3121816400253187,1,55,55.0,2,43
8,7,0.9376826487555356,2623.7850435279033,0.28222317553526893,1,50,50.0,2,43
8,8,0.9376826487555356,2398.1365068465793,0.2609694440066797,1,43,43.0,2,43
8,9,0.9376826487555356,2263.9228848406333,0.23464103291665123,1,38,38.0,2,43
10,2,0.9467199811325917,6555.185078338514,0.31888653314777615,93,110,1.1827956989247312,2,43
10,3,0.9467199811325917,4656.936889499631,0.336321102321992,41,88,2.1463414634146343,2,43
10,4,0.9467199811325917,3811.5327260749723,0.3290069644341327,19,70,3.6842105263157894,2,43
10,5,0.9467199811325917,3287.601812519353,0.3043387255848501,18,55,3.0555555555555554,2,43
10,6,0.9467199811325917,2971.6163368402413,0.28450155651407505,11,55,5.0,2,43
10,7,0.9467199811325917,2714.825591705365,0.2765823057342865,1,50,50.0,2,43
10,8,0.9467199811325917,2500.696919386319,0.27599825308897774,1,57,57.0,2,43
10,9,0.9467199811325917,2311.7100096072163,0.27262033160348836,1,48,48.0,2,43
12,2,0.953705999229963,6628.351754757529,0.31697672441739955,93,110,1.1827956989247312,2,43
12,3,0.953705999229963,4729.995742938019,0.3336194666530836,41,88,2.1463414634146343,2,43
12,4,0.953705999229963,3883.5803967416505,0.3258978230160599,19,70,3.6842105263157894,2,43
12,5,0.953705999229963,3358.074446221487,0.29895815294959793,19,55,2.8947368421052633,2,43
12,6,0.953705999229963,3042.2683655782275,0.2806965509363175,11,55,5.0,2,43
12,7,0.953705999229963,2790.9382106577036,0.2753105713619221,1,50,50.0,2,43
12,8,0.953705999229963,2551.18965126414,0.25595677434529357,1,48,48.0,2,43
12,9,0.953705999229963,2366.2466452963463,0.2364610865680893,1,40,40.0,2,43
15,2,0.9620339658139774,6715.672318702345,0.3141596867233512,93,110,1.1827956989247312,2,43
15,3,0.9620339658139774,4816.858608502044,0.3297473577687298,41,88,2.1463414634146343,2,43
15,4,0.9620339658139774,3971.365325262914,0.3220240367074027,19,71,3.736842105263158,2,43
15,5,0.9620339658139774,3444.1850604074843,0.29344181725110613,19,55,2.8947368421052633,2,43
15,6,0.9620339658139774,3148.6459895989956,0.29713852648896294,9,55,6.111111111111111,2,43
15,7,0.9620339658139774,2874.7398291232066,0.2698813723976874,1,50,50.0,2,43
15,8,0.9620339658139774,2629.0930239799823,0.2726527882963417,1,55,55.0,2,43
15,9,0.9620339658139774,2435.69031666756,0.23118581458917156,1,40,40.0,2,43
18,2,0.9677494300389881,6775.442407521169,0.3119782014682647,93,110,1.1827956989247312,2,43
18,3,0.9677494300389881,4876.778726195923,0.3268272881502258,41,88,2.1463414634146343,2,43
18,4,0.9677494300389881,4029.739778885739,0.31838963010262783,19,70,3.6842105263157894,2,43
18,5,0.9677494300389881,3505.036145917427,0.29102600295928327,18,55,3.0555555555555554,2,43
18,6,0.9677494300389881,3198.2094663394055,0.29263039277296615,9,55,6.111111111111111,2,43
18,7,0.9677494300389881,2931.1362234772096,0.29426473362817335,1,55,55.0,2,43
18,8,0.9677494300389881,2692.1038653389346,0.24668568444029032,1,49,49.0,2,43
18,9,0.9677494300389881,2487.9985896250546,0.22679571161028958,1,40,40.0,2,43
20,2,0.9706790119924147,6806.08400488728,0.3108829049917187,93,110,1.1827956989247312,2,43
20,3,0.9706790119924147,4907.528255793848,0.3253998360263361,41,88,2.1463414634146343,2,43
20,4,0.9706790119924147,4060.054348389622,0.31673660174836926,19,70,3.6842105263157894,2,43
20,5,0.9706790119924147,3534.0261087728036,0.28925907554681224,18,55,3.0555555555555554,2,43
20,6,0.9706790119924147,3227.071556927989,0.2908671442827352,9,55,6.111111111111111,2,43
20,7,0.9706790119924147,2959.902491774487,0.2925050511703845,1,55,55.0,2,43
20,8,0.9706790119924147,2720.1453117459478,0.24498758302197948,1,49,49.0,2,43
20,9,0.9706790119924147,2563.4714024079935,0.2623873786252032,1,55,55.0,2,43
25,2,0.9764892740410275,6867.104348177526,0.30853723382644566,93,110,1.1827956989247312,2,43
25,3,0.9764892740410275,4968.301414157852,0.3223098529562969,41,88,2.1463414634146343,2,43
25,4,0.9764892740410275,4120.006278003147,0.3134260228986966,19,70,3.6842105263157894,2,43
25,5,0.9764892740410275,3591.6381921147176,0.2837579810248415,19,55,2.8947368421052633,2,43
25,6,0.9764892740410275,3285.55233851003,0.28663233467435223,9,55,6.111111111111111,2,43
25,7,0.9764892740410275,2983.503037506218,0.2790038274695605,1,54,54.0,2,43
25,8,0.9764892740410275,2803.705691352947,0.26300073931845497,1,50,50.0,2,43
25,9,0.9764892740410275,2573.576572424705,0.22041763127087732,1,40,40.0,2,43
30,2,0.9807100526447581,6911.38657552684,0.30694065415549027,93,110,1.1827956989247312,2,43
30,3,0.9807100526447581,5012.467044084754,0.32016699676607685,41,88,2.1463414634146343,2,43
30,4,0.9807100526447581,4163.579669311398,0.3110271466807315,19,70,3.6842105263157894,2,43
30,5,0.9807100526447581,3634.7751650497485,0.2807878651323312,19,55,2.8947368421052633,2,43
30,6,0.9807100526447581,3328.6031390246994,0.28358561475342237,9,55,6.111111111111111,2,43
30,7,0.9807100526447581,3044.051010107013,0.2589938861471525,1,57,57.0,2,43
30,8,0.9807100526447581,2846.2805187323947,0.2601213674608469,1,50,50.0,2,43
30,9,0.9807100526447581,2625.6471584645706,0.2561051637883733,1,54,54.0,2,43
