pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,min_cluster_size,max_cluster_size,cluster_size_ratio,run,random_state
2,2,0.3622572545293913,2284.232831029401,0.5297701511828922,100,103,1.03,4,45
2,3,0.3622572545293913,1263.8725517303888,0.5422897037178036,45,102,2.2666666666666666,4,45
2,4,0.3622572545293913,821.512124739601,0.5091462997218554,35,68,1.9428571428571428,4,45
2,5,0.3622572545293913,590.2818162722655,0.49261949760071627,23,68,2.9565217391304346,4,45
2,6,0.3622572545293913,501.9154317054795,0.4280627024631907,22,45,2.0454545454545454,4,45
2,7,0.3622572545293913,415.1668999802876,0.40989544368942477,17,40,2.3529411764705883,4,45
2,8,0.3622572545293913,364.6869594564981,0.4213751202292028,8,40,5.0,4,45
2,9,0.3622572545293913,340.42858505042415,0.3902260967843798,8,30,3.75,4,45
3,2,0.42979904222237936,3252.9177249866407,0.44194367285578373,100,103,1.03,4,45
3,3,0.42979904222237936,2217.207959722293,0.4404547028569011,47,102,2.1702127659574466,4,45
3,4,0.42979904222237936,1718.1481259061022,0.38603917788539754,40,64,1.6,4,45
3,5,0.42979904222237936,1444.56898879991,0.39842335842298143,25,51,2.04,4,45
3,6,0.42979904222237936,1207.2966122150356,0.37507955473972016,22,51,2.3181818181818183,4,45
3,7,0.42979904222237936,1020.1531443148351,0.3872333554095944,13,51,3.923076923076923,4,45
3,8,0.42979904222237936,935.0459371500663,0.3822848422563388,12,51,4.25,4,45
3,9,0.42979904222237936,847.3501555303212,0.33615850183706625,12,36,3.0,4,45
4,2,0.4888329902826383,4097.117648537839,0.3874772563131036,100,103,1.03,4,45
4,3,0.4888329902826383,3033.4321206929158,0.3764132824935881,48,102,2.125,4,45
4,4,0.4888329902826383,2463.957273166075,0.3271452229031054,41,61,1.4878048780487805,4,45
4,5,0.4888329902826383,2133.4389893381112,0.3326289686917653,27,51,1.8888888888888888,4,45
4,6,0.4888329902826383,1927.7270112811848,0.2894725057321219,20,45,2.25,4,45
4,7,0.4888329902826383,1703.981132778458,0.3071674718816496,14,41,2.9285714285714284,4,45
4,8,0.4888329902826383,1499.5552517908168,0.31162529780087245,17,38,2.235294117647059,4,45
4,9,0.4888329902826383,1398.8384582827257,0.30191442796261003,13,36,2.769230769230769,4,45
5,2,0.5454754673825496,4894.400949895834,0.35685927257405564,100,103,1.03,4,45
5,3,0.5454754673825496,3753.5657735970526,0.3514819129132186,46,103,2.239130434782609,4,45
5,4,0.5454754673825496,3013.0511347413853,0.32560481232757593,37,66,1.7837837837837838,4,45
5,5,0.5454754673825496,2610.5472237358063,0.3305022683763756,32,53,1.65625,4,45
5,6,0.5454754673825496,2342.596890466143,0.2859287770854045,30,40,1.3333333333333333,4,45
5,7,0.5454754673825496,2088.7608077978803,0.29226993582711874,13,39,3.0,4,45
5,8,0.5454754673825496,1891.2831610144035,0.2980662178849868,14,35,2.5,4,45
5,9,0.5454754673825496,1777.1068242148544,0.2875146634659566,11,39,3.5454545454545454,4,45
6,2,0.5922805414515516,5565.920287920233,0.32669960173135176,100,103,1.03,4,45
6,3,0.5922805414515516,4419.720924028137,0.3186367356702453,47,103,2.1914893617021276,4,45
6,4,0.5922805414515516,3672.269551285053,0.2921912780584722,34,69,2.0294117647058822,4,45
6,5,0.5922805414515516,3272.63166116273,0.2888448313981298,30,51,1.7,4,45
