pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,min_cluster_size,max_cluster_size,cluster_size_ratio,run,random_state
2,2,0.45824173753608977,7.144004198245667,0.5559692911494287,101,102,1.00990099009901,1,42
2,3,0.45824173753608977,4.532005889631941,0.5253181789375895,49,102,2.0816326530612246,1,42
2,4,0.45824173753608977,2.408192083487155,0.5239711491136594,48,54,1.125,1,42
2,5,0.45824173753608977,1.7537669656093642,0.5140518544334414,28,54,1.9285714285714286,1,42
2,6,0.45824173753608977,1.218640391719175,0.4998840500611247,26,39,1.5,1,42
2,7,0.45824173753608977,1.0185395195637648,0.4783182201150988,19,39,2.0526315789473686,1,42
2,8,0.45824173753608977,0.858495337733626,0.4523543099869105,18,34,1.8888888888888888,1,42
2,9,0.45824173753608977,0.7376176171316171,0.4495545194619147,13,28,2.1538461538461537,1,42
3,2,0.5398409003685483,10.1977280440563,0.4628716319767091,101,102,1.00990099009901,1,42
3,3,0.5398409003685483,7.468200992601786,0.41951955325726403,50,102,2.04,1,42
3,4,0.5398409003685483,5.326346562312393,0.3924790608636572,50,51,1.02,1,42
3,5,0.5398409003685483,4.516454967897701,0.3807949586945914,18,54,3.0,1,42
3,6,0.5398409003685483,3.904943968280101,0.3800192411558724,18,51,2.8333333333333335,1,42
3,7,0.5398409003685483,3.3441554021868445,0.34856531027790655,18,39,2.1666666666666665,1,42
3,8,0.5398409003685483,2.764662313223263,0.36659824504269584,18,39,2.1666666666666665,1,42
3,9,0.5398409003685483,2.5197735529883856,0.355903119491442,15,29,1.9333333333333333,1,42
4,2,0.5969607205625309,12.343590657735174,0.41388154022284784,101,102,1.00990099009901,1,42
4,3,0.5969607205625309,9.606462799906186,0.36418620466539237,50,102,2.04,1,42
4,4,0.5969607205625309,7.463868805009854,0.3279065308766097,50,51,1.02,1,42
4,5,0.5969607205625309,6.5746822650318295,0.3085821467117261,27,51,1.8888888888888888,1,42
