pca_components,kmeans_clusters,pca_explained_var,inertia,silhouette,min_cluster_size,max_cluster_size,cluster_size_ratio,run,random_state
2,2,0.5425583511643464,238.25269172898996,0.49207589870593804,101,102,1.00990099009901,4,45
2,3,0.5425583511643464,142.50866991768333,0.4961210140993044,44,93,2.1136363636363638,4,45
2,4,0.5425583511643464,100.89448878193801,0.4617088718848676,43,65,1.5116279069767442,4,45
2,5,0.5425583511643464,81.61289816567148,0.43722918355542073,29,52,1.793103448275862,4,45
2,6,0.5425583511643464,68.86224680449061,0.4150720573459048,23,47,2.0434782608695654,4,45
2,7,0.5425583511643464,59.91101260908678,0.3861310906580989,18,41,2.2777777777777777,4,45
2,8,0.5425583511643464,53.56122297417032,0.34653694788678485,15,39,2.6,4,45
2,9,0.5425583511643464,45.72344374363656,0.3732211390849393,12,28,2.3333333333333335,4,45
3,2,0.6203105796314233,314.8085109419781,0.43678527336227146,100,103,1.03,4,45
3,3,0.6203105796314233,215.96751342383118,0.4323540035317024,43,98,2.2790697674418605,4,45
3,4,0.6203105796314233,169.40310134367985,0.3754671169327939,43,62,1.441860465116279,4,45
3,5,0.6203105796314233,146.046372281195,0.36778197631693416,27,62,2.2962962962962963,4,45
3,6,0.6203105796314233,124.30269935614706,0.34398744555118493,24,44,1.8333333333333333,4,45
3,7,0.6203105796314233,107.27069029518024,0.35528490714374117,20,39,1.95,4,45
3,8,0.6203105796314233,95.38456953658682,0.3473089024719342,21,36,1.7142857142857142,4,45
3,9,0.6203105796314233,86.91770817930741,0.3278544846684284,14,31,2.2142857142857144,4,45
4,2,0.6764303292152071,370.95852838277267,0.40410143378966884,100,103,1.03,4,45
4,3,0.6764303292152071,271.39771264832837,0.39073749572196403,43,98,2.2790697674418605,4,45
4,4,0.6764303292152071,220.3274979400079,0.33200384712085373,42,62,1.4761904761904763,4,45
4,5,0.6764303292152071,195.47730871433856,0.32287514433124126,29,62,2.1379310344827585,4,45
4,6,0.6764303292152071,174.0178066207585,0.2886006224673332,27,39,1.4444444444444444,4,45
4,7,0.6764303292152071,153.27994542854353,0.2951759233665732,19,36,1.894736842105263,4,45
4,8,0.6764303292152071,135.46212267457773,0.30154118802035634,18,36,2.0,4,45
4,9,0.6764303292152071,126.2638560102047,0.2758189212276679,15,32,2.1333333333333333,4,45
5,2,0.7152350131679974,409.8864838777198,0.3807484525449177,100,103,1.03,4,45
5,3,0.7152350131679974,310.09700002861894,0.36121149703548205,42,99,2.357142857142857,4,45
5,4,0.7152350131679974,258.5514560217217,0.30171392603919206,42,62,1.4761904761904763,4,45
5,5,0.7152350131679974,229.0842402086172,0.3033827075862342,25,62,2.48,4,45
5,6,0.7152350131679974,205.10441277780242,0.27473561289173287,24,45,1.875,4,45
5,7,0.7152350131679974,185.44933908773095,0.27294155638087414,18,45,2.5,4,45
5,8,0.7152350131679974,167.81837693503996,0.2669147085405365,16,36,2.25,4,45
5,9,0.7152350131679974,157.37269906901207,0.2464464697237185,12,29,2.4166666666666665,4,45
6,2,0.7394587576754741,434.19476615171436,0.36730463420289805,100,103,1.03,4,45
6,3,0.7394587576754741,334.2686453072545,0.3455567333103395,42,99,2.357142857142857,4,45
6,4,0.7394587576754741,282.64881777363235,0.2849811065842319,42,62,1.4761904761904763,4,45
6,5,0.7394587576754741,255.0583726286414,0.27884526086333117,28,62,2.2142857142857144,4,45
6,6,0.7394587576754741,230.64053906960493,0.24940300112267147,25,46,1.84,4,45
6,7,0.7394587576754741,210.5516256664644,0.25488136587859417,16,39,2.4375,4,45
6,8,0.7394587576754741,196.70188925489802,0.23789262111721837,14,40,2.857142857142857,4,45
6,9,0.7394587576754741,179.8042997827569,0.2534392231165128,7,38,5.428571428571429,4,45
7,2,0.7623344377882812,457.079994542777,0.3563620230202235,100,103,1.03,4,45
7,3,0.7623344377882812,356.58521897270214,0.33455377845661366,42,99,2.357142857142857,4,45
7,4,0.7623344377882812,304.9454319683341,0.2702792491446905,42,62,1.4761904761904763,4,45
7,5,0.7623344377882812,275.4053369111556,0.2685429545965665,25,62,2.48,4,45
7,6,0.7623344377882812,251.5336063477478,0.2429850922742047,24,45,1.875,4,45
7,7,0.7623344377882812,229.3806254937278,0.24355235721090276,16,45,2.8125,4,45
7,8,0.7623344377882812,210.23832335734295,0.24223558435763248,16,37,2.3125,4,45
7,9,0.7623344377882812,200.6200699710953,0.2099955524109253,12,31,2.5833333333333335,4,45
8,2,0.7825877782229226,477.4510258405187,0.34701672503723924,100,103,1.03,4,45
8,3,0.7825877782229226,376.20949405657404,0.3251082787060629,42,99,2.357142857142857,4,45
