var_a,var_b,cramers_v
tobacco_use,sun_exposure,0.7268444323050972
diagnosis,dysplasia_severity,0.7071067811865476
alcohol_consumption,sun_exposure,0.692542480550346
tobacco_use,alcohol_consumption,0.6205957083838215
skin_color,sun_exposure,0.6030483237284164
diagnosis,localization,0.5806398615130428
skin_color,alcohol_consumption,0.5058937142539258
skin_color,tobacco_use,0.5049529633524112
gender,localization,0.4590378558443243
gender,alcohol_consumption,0.44353242246049257
localization,dysplasia_severity,0.4185513146249605
alcohol_consumption,dysplasia_severity,0.41422318886545234
localization,tobacco_use,0.40861207938785077
localization,alcohol_consumption,0.3800727159581036
diagnosis,alcohol_consumption,0.3786440575169688
diagnosis,skin_color,0.3491417359440992
gender,dysplasia_severity,0.3115881378688459
age_group_label,tobacco_use,0.30401497569343805
age_group_label,localization,0.2886977358090737
age_group_label,alcohol_consumption,0.2863451859416957
diagnosis,tobacco_use,0.2760954125995112
tobacco_use,dysplasia_severity,0.27385905615881706
gender,skin_color,0.27112555521457665
localization,sun_exposure,0.2620439605405885
gender,tobacco_use,0.25987730206842746
diagnosis,gender,0.2582627438047705
skin_color,localization,0.2580459659462932
sun_exposure,dysplasia_severity,0.24219414464293784
age_group_label,dysplasia_severity,0.23744522377254754
diagnosis,age_group_label,0.23676663061875433
skin_color,age_group_label,0.23654482389905054
age_group_label,sun_exposure,0.1911806380306418
diagnosis,sun_exposure,0.18233873642485138
gender,age_group_label,0.17622273084516848
skin_color,dysplasia_severity,0.16584474899580778
gender,sun_exposure,0.1280442524525901
