title,kind,path,scope,source
Public-linked clinical distributions,thesis_svg,results/phase4/thesis_figures/clinical_distributions.svg,"3,111 public NDB-UFES-linked patch rows",release/v1.0.0/public/tables/experiment1_patch_assignments.csv; release/v1.0.0/public/tables/experiment2_patch_assignments.csv; release/v1.0.0/public/tables/validated_wsi_index.csv
Public-linked demographic distributions,thesis_svg,results/phase4/thesis_figures/demographic_distributions.svg,"3,111 public NDB-UFES-linked patch rows",release/v1.0.0/public/tables/experiment1_patch_assignments.csv; release/v1.0.0/public/tables/experiment2_patch_assignments.csv; release/v1.0.0/public/tables/validated_wsi_index.csv
Final three-class patch distribution,thesis_svg,results/phase4/thesis_figures/diagnosis_distribution.svg,"3,763 final experiment patch rows",release/v1.0.0/public/tables/experiment1_patch_assignments.csv; release/v1.0.0/public/tables/experiment2_patch_assignments.csv; release/v1.0.0/public/tables/validated_wsi_index.csv
Public-linked exposure distributions,thesis_svg,results/phase4/thesis_figures/exposure_distributions.svg,"3,111 public NDB-UFES-linked patch rows",release/v1.0.0/public/tables/experiment1_patch_assignments.csv; release/v1.0.0/public/tables/experiment2_patch_assignments.csv; release/v1.0.0/public/tables/validated_wsi_index.csv
Class distribution across the six folds,thesis_svg,results/phase4/thesis_figures/fold_class_distribution.svg,"3,763 final experiment patch rows",release/v1.0.0/public/tables/experiment1_patch_assignments.csv; release/v1.0.0/public/tables/experiment2_patch_assignments.csv; release/v1.0.0/public/tables/validated_wsi_index.csv
Final source-image linkage,thesis_svg,results/phase4/thesis_figures/source_image_linkage.svg,"3,763 patches; 251 source-image groups",release/v1.0.0/public/tables/experiment1_patch_assignments.csv; release/v1.0.0/public/tables/experiment2_patch_assignments.csv; release/v1.0.0/public/tables/validated_wsi_index.csv
Phase 2 model selection,thesis_pdf,results/phase4/thesis_figures/phase2_model_selection.pdf,model-selection analysis,results/phase2/tuning/phase2_model_selection.csv
Phase 2 model selection,thesis_png,results/phase4/thesis_figures/phase2_model_selection.png,model-selection analysis,results/phase2/tuning/phase2_model_selection.csv
Phase 2 model selection,thesis_svg,results/phase4/thesis_figures/phase2_model_selection.svg,model-selection analysis,results/phase2/tuning/phase2_model_selection.csv
Source-image 0011 overlap bounding boxes,thesis_pdf,results/phase4/thesis_figures/origin_0011_overlap_bbox.pdf,contamination-review example,data/ndb_ufes/patch_level/images/p0020.png; data/ndb_ufes/patch_level/images/p0021.png
Source-image 0011 overlap bounding boxes,thesis_png,results/phase4/thesis_figures/origin_0011_overlap_bbox.png,contamination-review example,data/ndb_ufes/patch_level/images/p0020.png; data/ndb_ufes/patch_level/images/p0021.png
Source-image 0011 overlap bounding boxes,thesis_svg,results/phase4/thesis_figures/origin_0011_overlap_bbox.svg,contamination-review example,data/ndb_ufes/patch_level/images/p0020.png; data/ndb_ufes/patch_level/images/p0021.png
