experiment,model,fold,validation_selected_fold,series,epoch,loss
Experiment 1,DenseNet-121,0,False,training,1,0.841835950811704
Experiment 1,DenseNet-121,0,False,training,2,0.6887419344413848
Experiment 1,DenseNet-121,0,False,training,3,0.5973630643316677
Experiment 1,DenseNet-121,0,False,training,4,0.5460384965297722
Experiment 1,DenseNet-121,0,False,training,5,0.5169840518917356
Experiment 1,DenseNet-121,0,False,training,6,0.45471514921103207
Experiment 1,DenseNet-121,0,False,training,7,0.4319911056331226
Experiment 1,DenseNet-121,0,False,training,8,0.4113175445014522
Experiment 1,DenseNet-121,0,False,training,9,0.40589985411081997
Experiment 1,DenseNet-121,0,False,training,10,0.36509125183026
Experiment 1,DenseNet-121,0,False,training,11,0.3701371797138736
Experiment 1,DenseNet-121,0,False,training,12,0.31666343730120433
Experiment 1,DenseNet-121,0,False,training,13,0.302259475436239
Experiment 1,DenseNet-121,0,False,training,14,0.3131911930228983
Experiment 1,DenseNet-121,0,False,training,15,0.270279654878236
Experiment 1,DenseNet-121,0,False,training,16,0.29786524966004346
Experiment 1,DenseNet-121,0,False,training,17,0.2965387835921276
Experiment 1,DenseNet-121,0,False,training,18,0.2749303203253519
Experiment 1,DenseNet-121,0,False,training,19,0.3005461228035745
Experiment 1,DenseNet-121,0,False,training,20,0.27532446819047135
Experiment 1,DenseNet-121,0,False,training,21,0.2468432599589938
Experiment 1,DenseNet-121,0,False,training,22,0.22892817349306174
Experiment 1,DenseNet-121,0,False,training,23,0.18620173624228864
Experiment 1,DenseNet-121,0,False,training,24,0.2230942669723715
Experiment 1,DenseNet-121,0,False,training,25,0.19427793273436172
Experiment 1,DenseNet-121,0,False,training,26,0.17688603734686262
Experiment 1,DenseNet-121,0,False,training,27,0.16008668823078984
Experiment 1,DenseNet-121,0,False,training,28,0.15524434559934197
Experiment 1,DenseNet-121,0,False,training,29,0.16118525039582027
Experiment 1,DenseNet-121,0,False,training,30,0.1641304155456878
Experiment 1,DenseNet-121,0,False,training,31,0.17126207359667336
Experiment 1,DenseNet-121,0,False,training,32,0.1544939245851267
Experiment 1,DenseNet-121,0,False,training,33,0.15383457210624502
Experiment 1,DenseNet-121,0,False,training,34,0.15522985630446956
Experiment 1,DenseNet-121,0,False,training,35,0.159226514421226
Experiment 1,DenseNet-121,0,False,training,36,0.1457932853539075
Experiment 1,DenseNet-121,0,False,training,37,0.17464286618910374
