patch,correct_origin
p0011,-1
p0227,0018
p0230,0018
p0281,0156
p0285,0156
p0345,0075
p0347,0075
p0357,0074
p0360,0074
p0361,0074
p0364,0072
p0365,0072
p0366,0072
p0370,0072
p0375,0072
p0422,0104
p0762,0206
p0834,0215
p0838,0215
p0853,0042
p0870,-1
P0872,-1
p0873,-1
p0874,-1
p0876,-1
p0946,-1
p0947,-1
p0948,-1
p0966,-1
p1039,0082
p1040,0082
p1057,0091
p1078,-1
p1137,-1
p1138,-1
p1139,-1
p1172,-1
p1173,-1
p1174,-1
p1175,-1
p1192,-1
p1193.-1
p1211,0150
p1229,0158
p1249,0162
p1262,0164
p1286,-1
p1293,0173
p1324,-1
p1325,-1
p1326,-1
p1340,0190
p1440,0007
p1441,0007
p1442,0007
p1443,0007
p1444,0007
p1465,-1
p1466,-1
p1503,-1
p1506,-1
p1562,-1
p1570,-1
p1574,-1
p1599,-1
p1689,-1
p1722,-1
p1723,-1
p1725,-1
p1727,-1
p1728,-1
p1730,-1
p1819,-1
p1902,-1
p1903,-1
p1904,-1
p1906,-1
p1908,-1
p1910,-1
p1911,-1
p1914,-1
p1915,-1
p1916,-1
p1917,-1
p1958,-1
p1976,-1
p1978,-1
p1979,-1
p1980,-1
p2084,-1
p2093,-1
p2097,-1
p2100,-1
p2138,-1
p2270,-1
p2273,-1
p2280,-1
p2282,-1
p2285,-1
p2288,-1
p2290,-1
p2307,-1
p2425,-1
p2427,-1
p2429,-1
p2433,-1
p2437,-1
p2552,-1
p2555,-1
p2651,-1
p2767,-1
p2849,-1

